Dystans do przejscia: 1000, dlugosc kroku: 5
15925: (x,y)=(57.905,415.097)
15926: (x,y)=(52.9666,414.315)
15927: (x,y)=(54.4285,419.096)
15928: (x,y)=(51.0828,422.812)
15929: (x,y)=(47.8025,419.038)
15930: (x,y)=(52.0883,421.614)
15931: (x,y)=(51.9138,416.617)
15932: (x,y)=(52.0011,411.617)
15933: (x,y)=(47.9053,414.485)
15934: (x,y)=(52.5732,412.693)
15935: (x,y)=(53.4415,407.769)
15936: (x,y)=(48.5508,408.809)
15937: (x,y)=(53.4022,407.599)
15938: (x,y)=(54.7804,402.793)
15939: (x,y)=(54.4316,397.805)
15940: (x,y)=(59.2379,399.183)
15941: (x,y)=(54.5104,400.811)
15942: (x,y)=(49.8424,399.019)
15943: (x,y)=(53.0564,402.85)
15944: (x,y)=(57.8117,401.304)
15945: (x,y)=(56.9434,406.229)
15946: (x,y)=(61.1837,408.878)
15947: (x,y)=(56.8106,406.454)
15948: (x,y)=(61.7733,407.063)
15949: (x,y)=(64.2733,411.394)
15950: (x,y)=(67.7466,407.797)
15951: (x,y)=(66.7925,412.705)
15952: (x,y)=(70.4493,416.115)
15953: (x,y)=(71.2315,411.177)
15954: (x,y)=(76.1033,410.052)
15955: (x,y)=(75.2351,405.128)
15956: (x,y)=(77.5051,400.673)
15957: (x,y)=(75.632,396.037)
15958: (x,y)=(77.6657,391.469)
15959: (x,y)=(82.5172,392.679)
15960: (x,y)=(84.8645,397.093)
15961: (x,y)=(89.2793,394.746)
15962: (x,y)=(92.5596,390.972)
15963: (x,y)=(93.6843,395.844)
15964: (x,y)=(97.4,399.19)
15965: (x,y)=(93.2067,396.467)
15966: (x,y)=(96.0027,400.612)
15967: (x,y)=(96.0899,405.611)
15968: (x,y)=(92.2042,402.465)
15969: (x,y)=(95.2825,406.405)
15970: (x,y)=(93.5724,401.706)
15971: (x,y)=(89.9156,398.296)
15972: (x,y)=(87.5683,402.711)
15973: (x,y)=(88.0041,397.73)
15974: (x,y)=(89.7142,402.428)
15975: (x,y)=(87.6805,406.996)
15976: (x,y)=(82.7177,406.387)
15977: (x,y)=(87.5474,405.093)
15978: (x,y)=(86.6791,400.169)
15979: (x,y)=(85.0513,404.896)
15980: (x,y)=(88.8248,408.177)
15981: (x,y)=(84.8317,405.168)
15982: (x,y)=(89.5301,403.457)
15983: (x,y)=(90.3984,408.381)
15984: (x,y)=(93.3373,404.336)
15985: (x,y)=(96.3464,408.33)
15986: (x,y)=(92.5161,411.543)
15987: (x,y)=(97.3458,410.249)
15988: (x,y)=(95.4727,414.885)
15989: (x,y)=(94.1786,410.056)
15990: (x,y)=(89.2546,410.924)
15991: (x,y)=(88.3864,406)
15992: (x,y)=(83.4956,407.039)
15993: (x,y)=(84.4497,402.131)
15994: (x,y)=(89.0522,400.178)
15995: (x,y)=(85.8383,396.347)
15996: (x,y)=(90.6897,397.557)
15997: (x,y)=(88.0401,393.317)
15998: (x,y)=(93.0029,392.707)
15999: (x,y)=(96.8886,395.854)
16000: (x,y)=(101.888,395.941)
16001: (x,y)=(103.433,400.697)
16002: (x,y)=(108.188,402.242)
16003: (x,y)=(110.536,406.656)
16004: (x,y)=(105.837,404.946)
16005: (x,y)=(100.864,404.424)
16006: (x,y)=(99.7397,399.552)
16007: (x,y)=(101.202,404.333)
16008: (x,y)=(104.348,400.448)
16009: (x,y)=(101.924,396.075)
16010: (x,y)=(104.792,400.17)
16011: (x,y)=(107.939,396.285)
16012: (x,y)=(112.72,397.746)
16013: (x,y)=(107.848,398.871)
16014: (x,y)=(112.604,397.326)
16015: (x,y)=(116.597,394.317)
16016: (x,y)=(116.074,389.344)
16017: (x,y)=(119.42,393.06)
16018: (x,y)=(120.798,388.254)
16019: (x,y)=(117.452,384.538)
16020: (x,y)=(117.104,389.526)
16021: (x,y)=(121.706,387.572)
16022: (x,y)=(117.61,384.704)
16023: (x,y)=(119.644,380.137)
16024: (x,y)=(117.531,384.668)
16025: (x,y)=(114.808,380.475)
16026: (x,y)=(114.198,375.512)
16027: (x,y)=(109.347,376.722)
16028: (x,y)=(114.219,375.597)
16029: (x,y)=(119.143,376.465)
16030: (x,y)=(122.858,373.12)
16031: (x,y)=(118.865,370.11)
16032: (x,y)=(116.441,365.737)
16033: (x,y)=(121.14,364.027)
16034: (x,y)=(124.97,367.241)
16035: (x,y)=(121.03,370.32)
16036: (x,y)=(116.744,372.895)
16037: (x,y)=(112.699,375.834)
16038: (x,y)=(114.409,371.135)
16039: (x,y)=(109.416,370.873)
16040: (x,y)=(104.813,368.92)
16041: (x,y)=(100.573,371.569)
16042: (x,y)=(102.686,376.101)
16043: (x,y)=(99.0895,372.628)
16044: (x,y)=(94.1655,371.759)
16045: (x,y)=(89.563,373.713)
16046: (x,y)=(84.5752,373.364)
16047: (x,y)=(85.6147,378.255)
16048: (x,y)=(84.7465,373.331)
16049: (x,y)=(81.6682,369.391)
16050: (x,y)=(80.4586,374.242)
16051: (x,y)=(82.3316,378.878)
16052: (x,y)=(86.3767,381.817)
16053: (x,y)=(89.5233,377.932)
16054: (x,y)=(84.6936,379.226)
16055: (x,y)=(86.8067,383.757)
16056: (x,y)=(88.8404,379.189)
16057: (x,y)=(93.0338,381.913)
16058: (x,y)=(88.6607,384.337)
16059: (x,y)=(93.6576,384.162)
16060: (x,y)=(95.3677,379.464)
16061: (x,y)=(94.4137,374.556)
16062: (x,y)=(90.698,371.21)
16063: (x,y)=(87.1624,374.745)
16064: (x,y)=(82.1632,374.833)
16065: (x,y)=(81.5538,379.795)
16066: (x,y)=(83.9012,375.381)
16067: (x,y)=(86.6244,379.574)
16068: (x,y)=(91.4962,380.699)
16069: (x,y)=(89.9512,375.944)
16070: (x,y)=(86.2944,379.354)
16071: (x,y)=(84.1813,383.885)
16072: (x,y)=(86.6053,388.258)
16073: (x,y)=(85.9095,393.21)
16074: (x,y)=(83.8758,397.777)
16075: (x,y)=(83.9631,392.778)
16076: (x,y)=(81.4631,388.448)
16077: (x,y)=(83.8104,384.033)
16078: (x,y)=(79.0828,385.661)
16079: (x,y)=(74.1588,386.529)
16080: (x,y)=(72.8647,381.7)
16081: (x,y)=(69.5844,377.926)
16082: (x,y)=(68.0393,373.171)
16083: (x,y)=(71.9794,370.092)
16084: (x,y)=(71.5436,365.111)
16085: (x,y)=(66.9411,363.158)
16086: (x,y)=(62.1858,361.613)
16087: (x,y)=(66.7535,363.646)
16088: (x,y)=(71.7527,363.734)
16089: (x,y)=(70.7987,358.826)
16090: (x,y)=(74.272,355.229)
16091: (x,y)=(71.9246,359.644)
16092: (x,y)=(76.7761,358.434)
16093: (x,y)=(73.6978,362.374)
16094: (x,y)=(78.1528,364.644)
16095: (x,y)=(75.4296,368.837)
16096: (x,y)=(70.7312,370.547)
16097: (x,y)=(70.9057,375.544)
16098: (x,y)=(74.3157,371.888)
16099: (x,y)=(76.1887,376.524)
16100: (x,y)=(80.7202,378.637)
16101: (x,y)=(79.6807,383.527)
16102: (x,y)=(74.6837,383.353)
16103: (x,y)=(79.6647,383.789)
16104: (x,y)=(80.2741,388.751)
16105: (x,y)=(76.5005,392.032)
16106: (x,y)=(77.4545,387.124)
16107: (x,y)=(75.5009,391.726)
16108: (x,y)=(79.7411,394.376)
16109: (x,y)=(74.8504,393.336)
16110: (x,y)=(76.6422,388.668)
16111: (x,y)=(76.2065,393.649)
16112: (x,y)=(72.6098,390.176)
16113: (x,y)=(74.8797,394.631)
16114: (x,y)=(70.1812,392.921)
16115: (x,y)=(74.6363,390.651)
16116: (x,y)=(69.6978,389.869)
16117: (x,y)=(69.4362,384.876)
16118: (x,y)=(65.9006,381.34)
16119: (x,y)=(70.4322,383.453)
16120: (x,y)=(74.0889,380.043)
16121: (x,y)=(74.5247,385.024)
16122: (x,y)=(72.6517,380.388)
16123: (x,y)=(68.3658,382.963)
16124: (x,y)=(67.5837,387.902)
16125: (x,y)=(71.8239,390.551)
16126: (x,y)=(67.0424,392.013)
16127: (x,y)=(68.1671,387.141)
16128: (x,y)=(65.1581,391.135)
16129: (x,y)=(70.1094,390.439)
16130: (x,y)=(67.9175,385.945)
16131: (x,y)=(72.9168,386.032)
16132: (x,y)=(68.821,383.164)
16133: (x,y)=(66.1714,378.924)
16134: (x,y)=(61.473,377.214)
16135: (x,y)=(58.4639,381.207)
16136: (x,y)=(58.8127,386.195)
16137: (x,y)=(63.4152,388.148)
16138: (x,y)=(58.6876,386.521)
16139: (x,y)=(59.6417,391.429)
16140: (x,y)=(63.6867,388.49)
16141: (x,y)=(68.3227,390.363)
16142: (x,y)=(70.8227,386.033)
16143: (x,y)=(66.5824,383.383)
16144: (x,y)=(65.4577,388.255)
16145: (x,y)=(60.8217,390.128)
16146: (x,y)=(63.7607,394.173)
16147: (x,y)=(65.4708,398.872)
16148: (x,y)=(64.9481,403.844)
16149: (x,y)=(61.1746,400.564)
16150: (x,y)=(56.9812,397.841)
16151: (x,y)=(61.396,400.188)
16152: (x,y)=(56.9409,402.458)
16153: (x,y)=(52.1113,403.752)
16154: (x,y)=(54.9073,407.897)
16155: (x,y)=(58.504,411.371)
16156: (x,y)=(63.3758,412.495)
16157: (x,y)=(63.2886,407.496)
16158: (x,y)=(67.5744,410.071)
16159: (x,y)=(64.0389,413.607)
16160: (x,y)=(68.6066,415.64)
16161: (x,y)=(65.5283,411.7)
16162: (x,y)=(63.2583,416.155)
16163: (x,y)=(68.2097,416.851)
16164: (x,y)=(69.6715,421.633)
16165: (x,y)=(72.7498,417.693)
16166: (x,y)=(77.5561,419.071)
16167: (x,y)=(72.9202,420.944)
16168: (x,y)=(69.6399,417.17)
16169: (x,y)=(66.426,413.34)
16170: (x,y)=(64.8809,418.096)
16171: (x,y)=(67.0728,422.589)
16172: (x,y)=(63.9262,418.704)
16173: (x,y)=(58.9748,418.008)
16174: (x,y)=(63.8467,419.133)
16175: (x,y)=(63.4109,414.152)
16176: (x,y)=(59.1706,411.502)
16177: (x,y)=(56.8233,407.087)
16178: (x,y)=(52.583,409.737)
16179: (x,y)=(48.3897,407.014)
16180: (x,y)=(47.6075,411.952)
16181: (x,y)=(51.8009,414.675)
16182: (x,y)=(48.3909,411.019)
16183: (x,y)=(44.2457,413.815)
16184: (x,y)=(40.0523,411.091)
16185: (x,y)=(37.7824,415.546)
16186: (x,y)=(34.9864,419.692)
16187: (x,y)=(39.7417,421.237)
16188: (x,y)=(44.2732,423.35)
16189: (x,y)=(42.8951,418.543)
16190: (x,y)=(38.44,416.274)
16191: (x,y)=(43.2463,417.652)
16192: (x,y)=(38.6786,419.685)
16193: (x,y)=(34.3485,417.185)
16194: (x,y)=(32.6384,412.487)
16195: (x,y)=(27.6452,412.749)
16196: (x,y)=(31.4188,409.468)
16197: (x,y)=(26.528,408.429)
16198: (x,y)=(27.2239,403.477)
16199: (x,y)=(25.762,398.696)
16200: (x,y)=(29.172,395.039)
16201: (x,y)=(24.7573,392.692)
16202: (x,y)=(20.3426,395.039)
16203: (x,y)=(20.9519,390.076)
16204: (x,y)=(18.013,394.121)
16205: (x,y)=(13.3771,392.248)
16206: (x,y)=(17.3171,395.327)
16207: (x,y)=(14.8171,399.657)
16208: (x,y)=(13.6075,404.508)
16209: (x,y)=(13.433,409.505)
16210: (x,y)=(18.1883,411.05)
16211: (x,y)=(17.0635,406.179)
16212: (x,y)=(14.7936,410.634)
16213: (x,y)=(11.1368,407.224)
16214: (x,y)=(14.7936,410.634)
16215: (x,y)=(11.3836,406.977)
16216: (x,y)=(10.0054,411.783)
16217: (x,y)=(11.215,406.932)
16218: (x,y)=(16.0665,405.722)
16219: (x,y)=(14.8569,400.871)
16220: (x,y)=(11.1412,397.525)
16221: (x,y)=(16.013,396.4)
16222: (x,y)=(16.3618,391.412)
16223: (x,y)=(19.3709,395.406)
16224: (x,y)=(20.0667,400.357)
16225: (x,y)=(21.8586,405.025)
16226: (x,y)=(20.2307,409.752)
16227: (x,y)=(15.2923,410.535)
16228: (x,y)=(17.4842,415.028)
16229: (x,y)=(22.4651,414.593)
16230: (x,y)=(22.1163,409.605)
16231: (x,y)=(26.7523,407.732)
16232: (x,y)=(24.2523,412.062)
16233: (x,y)=(19.9664,414.637)
16234: (x,y)=(24.9474,414.201)
16235: (x,y)=(21.0073,417.28)
16236: (x,y)=(16.0689,418.062)
16237: (x,y)=(11.1782,419.101)
16238: (x,y)=(15.9334,417.556)
16239: (x,y)=(11.6033,420.056)
16240: (x,y)=(14.2529,424.297)
16241: (x,y)=(9.92279,421.797)
16242: (x,y)=(4.92584,421.971)
16243: (x,y)=(9.0216,424.839)
16244: (x,y)=(5.87499,420.953)
16245: (x,y)=(6.04949,425.95)
16246: (x,y)=(2.7692,422.177)
16247: (x,y)=(1.39101,417.37)
16248: (x,y)=(-3.24491,419.243)
16249: (x,y)=(1.60657,418.034)
16250: (x,y)=(-3.35616,417.424)
16251: (x,y)=(-8.18579,418.719)
16252: (x,y)=(-12.0715,421.865)
16253: (x,y)=(-7.65678,424.212)
16254: (x,y)=(-11.1301,420.616)
16255: (x,y)=(-13.6301,424.946)
16256: (x,y)=(-10.9805,429.186)
16257: (x,y)=(-6.17417,427.808)
16258: (x,y)=(-10.7419,429.842)
16259: (x,y)=(-6.24793,427.65)
16260: (x,y)=(-1.26011,427.999)
16261: (x,y)=(3.73304,428.26)
16262: (x,y)=(7.32974,431.734)
16263: (x,y)=(7.06806,436.727)
16264: (x,y)=(2.82782,439.376)
16265: (x,y)=(4.20601,434.57)
16266: (x,y)=(7.80271,431.097)
16267: (x,y)=(4.58877,434.927)
16268: (x,y)=(9.56974,435.363)
16269: (x,y)=(13.043,438.959)
16270: (x,y)=(11.6648,434.153)
16271: (x,y)=(10.6253,439.044)
16272: (x,y)=(15.2612,437.171)
16273: (x,y)=(15.697,442.152)
16274: (x,y)=(19.1703,438.555)
16275: (x,y)=(23.3155,441.351)
16276: (x,y)=(27.5557,438.701)
16277: (x,y)=(23.6157,435.623)
16278: (x,y)=(28.422,437.001)
16279: (x,y)=(33.1204,435.291)
16280: (x,y)=(35.6204,430.961)
16281: (x,y)=(40.5832,431.57)
16282: (x,y)=(42.8531,436.025)
16283: (x,y)=(38.0978,437.571)
16284: (x,y)=(34.3243,434.29)
16285: (x,y)=(35.7861,439.072)
16286: (x,y)=(31.1836,441.025)
16287: (x,y)=(27.9697,437.195)
16288: (x,y)=(32.9575,437.544)
16289: (x,y)=(28.1279,438.838)
16290: (x,y)=(32.4137,441.413)
16291: (x,y)=(28.1279,438.838)
16292: (x,y)=(30.5519,434.465)
16293: (x,y)=(35.0835,436.578)
16294: (x,y)=(32.3603,440.771)
16295: (x,y)=(35.2281,444.867)
16296: (x,y)=(30.6256,446.821)
16297: (x,y)=(25.898,448.449)
16298: (x,y)=(21.6578,445.799)
16299: (x,y)=(21.309,440.811)
16300: (x,y)=(17.4233,443.958)
16301: (x,y)=(22.4111,443.609)
16302: (x,y)=(22.4983,438.61)
16303: (x,y)=(19.8488,434.37)
16304: (x,y)=(17.2736,438.655)
16305: (x,y)=(19.3072,434.088)
16306: (x,y)=(24.0057,435.798)
16307: (x,y)=(28.1991,433.075)
16308: (x,y)=(25.6991,437.405)
16309: (x,y)=(30.4543,435.86)
16310: (x,y)=(28.107,440.274)
16311: (x,y)=(33.0948,439.926)
16312: (x,y)=(29.9482,443.811)
16313: (x,y)=(29.166,448.75)
16314: (x,y)=(31.8156,444.51)
16315: (x,y)=(31.8156,439.51)
16316: (x,y)=(36.3096,437.318)
16317: (x,y)=(40.0253,440.663)
16318: (x,y)=(37.2294,436.518)
16319: (x,y)=(33.5726,439.928)
16320: (x,y)=(28.845,441.556)
16321: (x,y)=(25.0715,444.836)
16322: (x,y)=(29.8778,443.458)
16323: (x,y)=(34.3717,445.65)
16324: (x,y)=(29.6164,444.105)
16325: (x,y)=(30.656,448.996)
16326: (x,y)=(35.1875,451.109)
16327: (x,y)=(31.1425,454.048)
16328: (x,y)=(29.4324,449.349)
16329: (x,y)=(30.9774,454.104)
16330: (x,y)=(26.4097,456.138)
16331: (x,y)=(21.447,456.747)
16332: (x,y)=(16.4538,457.009)
16333: (x,y)=(20.1696,460.355)
16334: (x,y)=(17.023,456.469)
16335: (x,y)=(12.0989,455.601)
16336: (x,y)=(17.0715,456.123)
16337: (x,y)=(21.5266,458.393)
16338: (x,y)=(17.0326,456.202)
16339: (x,y)=(12.1607,455.077)
16340: (x,y)=(7.16759,454.815)
16341: (x,y)=(11.1608,457.824)
16342: (x,y)=(11.7701,452.861)
16343: (x,y)=(14.4933,448.668)
16344: (x,y)=(14.5806,443.669)
16345: (x,y)=(18.9107,446.169)
16346: (x,y)=(21.7786,450.265)
16347: (x,y)=(22.4745,455.216)
16348: (x,y)=(17.5837,456.256)
16349: (x,y)=(19.7756,460.75)
16350: (x,y)=(24.714,459.967)
16351: (x,y)=(23.4199,464.797)
16352: (x,y)=(27.2501,468.011)
16353: (x,y)=(22.2775,467.488)
16354: (x,y)=(17.2783,467.401)
16355: (x,y)=(20.7516,463.804)
16356: (x,y)=(15.9453,462.426)
16357: (x,y)=(20.7516,463.804)
16358: (x,y)=(23.2516,468.134)
16359: (x,y)=(24.8794,472.862)
16360: (x,y)=(19.8802,472.949)
16361: (x,y)=(24.8429,472.34)
16362: (x,y)=(21.1861,475.75)
16363: (x,y)=(16.9459,478.4)
16364: (x,y)=(14.754,473.906)
16365: (x,y)=(17.55,478.051)
16366: (x,y)=(19.8974,482.465)
16367: (x,y)=(19.4616,487.446)
16368: (x,y)=(16.4525,483.453)
16369: (x,y)=(19.1021,479.213)
16370: (x,y)=(18.5795,474.24)
16371: (x,y)=(22.4652,471.094)
16372: (x,y)=(18.32,468.298)
16373: (x,y)=(13.3573,468.907)
16374: (x,y)=(16.5712,465.077)
16375: (x,y)=(17.8653,460.247)
16376: (x,y)=(19.819,455.645)
16377: (x,y)=(24.0592,452.995)
16378: (x,y)=(19.2777,454.457)
16379: (x,y)=(14.7837,452.265)
16380: (x,y)=(17.2837,447.935)
16381: (x,y)=(14.7085,452.221)
16382: (x,y)=(13.669,457.112)
16383: (x,y)=(10.259,460.768)
16384: (x,y)=(7.91162,456.354)
16385: (x,y)=(6.20152,451.655)
16386: (x,y)=(9.54717,447.94)
16387: (x,y)=(8.67893,452.864)
16388: (x,y)=(5.95574,448.67)
16389: (x,y)=(7.58358,443.943)
16390: (x,y)=(6.12172,439.161)
16391: (x,y)=(10.9936,440.286)
16392: (x,y)=(15.5613,442.32)
16393: (x,y)=(16.9395,437.513)
16394: (x,y)=(20.4128,441.11)
16395: (x,y)=(23.8861,444.707)
16396: (x,y)=(25.6779,440.039)
16397: (x,y)=(22.2046,443.635)
16398: (x,y)=(19.2657,447.681)
16399: (x,y)=(15.2725,444.671)
16400: (x,y)=(17.0644,440.004)
16401: (x,y)=(22.0575,439.742)
16402: (x,y)=(17.2512,438.364)
16403: (x,y)=(15.2175,433.796)
16404: (x,y)=(18.8142,437.269)
16405: (x,y)=(22.1599,440.985)
16406: (x,y)=(22.2471,445.984)
16407: (x,y)=(17.3087,445.202)
16408: (x,y)=(17.1342,450.199)
16409: (x,y)=(14.559,454.485)
16410: (x,y)=(16.3508,449.817)
16411: (x,y)=(13.2042,453.703)
16412: (x,y)=(17.3976,456.426)
16413: (x,y)=(20.8709,460.023)
16414: (x,y)=(20.3482,455.05)
16415: (x,y)=(25.1997,456.26)
16416: (x,y)=(23.166,451.692)
16417: (x,y)=(26.7627,448.219)
16418: (x,y)=(30.5363,444.938)
16419: (x,y)=(26.1632,447.362)
16420: (x,y)=(28.1969,451.93)
16421: (x,y)=(27.0721,456.802)
16422: (x,y)=(32.0599,456.453)
16423: (x,y)=(32.3216,451.46)
16424: (x,y)=(28.3284,448.451)
16425: (x,y)=(28.9378,443.488)
16426: (x,y)=(33.083,446.284)
16427: (x,y)=(36.1613,450.224)
16428: (x,y)=(38.9572,454.369)
16429: (x,y)=(34.7639,451.646)
16430: (x,y)=(30.128,453.519)
16431: (x,y)=(25.8421,450.944)
16432: (x,y)=(29.4989,454.354)
16433: (x,y)=(24.863,452.481)
16434: (x,y)=(25.1247,447.488)
16435: (x,y)=(20.2006,448.356)
16436: (x,y)=(22.9238,452.549)
16437: (x,y)=(19.5782,448.834)
16438: (x,y)=(22.7921,445.003)
16439: (x,y)=(27.3946,446.957)
16440: (x,y)=(28.4342,442.066)
16441: (x,y)=(33.3969,441.457)
16442: (x,y)=(38.3901,441.195)
16443: (x,y)=(43.3779,440.847)
16444: (x,y)=(44.923,436.091)
16445: (x,y)=(42.9693,431.489)
16446: (x,y)=(39.3125,428.079)
16447: (x,y)=(44.3004,428.428)
16448: (x,y)=(43.4321,423.503)
16449: (x,y)=(46.371,427.549)
16450: (x,y)=(48.3247,432.151)
16451: (x,y)=(46.7796,436.906)
16452: (x,y)=(51.1097,434.406)
16453: (x,y)=(55.5245,432.059)
16454: (x,y)=(50.826,430.349)
16455: (x,y)=(46.0197,428.971)
16456: (x,y)=(43.5957,433.344)
16457: (x,y)=(47.4259,436.558)
16458: (x,y)=(42.8582,438.591)
16459: (x,y)=(43.554,433.64)
16460: (x,y)=(38.5814,433.117)
16461: (x,y)=(39.1908,438.08)
16462: (x,y)=(42.3374,434.194)
16463: (x,y)=(39.1234,430.364)
16464: (x,y)=(43.3168,433.087)
16465: (x,y)=(39.9711,429.372)
16466: (x,y)=(41.3493,424.565)
16467: (x,y)=(39.6392,419.867)
16468: (x,y)=(40.075,424.848)
16469: (x,y)=(41.3691,429.678)
16470: (x,y)=(44.4474,425.737)
16471: (x,y)=(45.657,420.886)
16472: (x,y)=(50.4385,422.348)
16473: (x,y)=(46.8418,418.875)
16474: (x,y)=(41.8608,418.439)
16475: (x,y)=(41.165,413.487)
16476: (x,y)=(45.6965,411.374)
16477: (x,y)=(45.6093,406.375)
16478: (x,y)=(40.7374,405.25)
16479: (x,y)=(37.7985,409.295)
16480: (x,y)=(35.6066,413.789)
16481: (x,y)=(32.5976,409.796)
16482: (x,y)=(37.3251,411.424)
16483: (x,y)=(36.9764,406.436)
16484: (x,y)=(40.5119,409.972)
16485: (x,y)=(39.2178,405.142)
16486: (x,y)=(43.363,407.938)
16487: (x,y)=(47.818,405.668)
16488: (x,y)=(44.6041,409.498)
16489: (x,y)=(48.9342,411.998)
16490: (x,y)=(53.9274,411.737)
16491: (x,y)=(55.881,416.339)
16492: (x,y)=(59.6546,419.62)
16493: (x,y)=(57.005,423.86)
16494: (x,y)=(56.1367,428.784)
16495: (x,y)=(51.4091,430.412)
16496: (x,y)=(51.0603,435.399)
16497: (x,y)=(46.5288,437.513)
16498: (x,y)=(48.4018,432.877)
16499: (x,y)=(44.3568,429.938)
16500: (x,y)=(43.0627,434.767)
16501: (x,y)=(40.8708,430.273)
16502: (x,y)=(36.0645,428.895)
16503: (x,y)=(32.2343,432.109)
16504: (x,y)=(31.1095,427.237)
16505: (x,y)=(35.4396,429.737)
16506: (x,y)=(31.0665,427.313)
16507: (x,y)=(27.9882,423.373)
16508: (x,y)=(32.9882,423.373)
16509: (x,y)=(29.2725,420.028)
16510: (x,y)=(29.5342,425.021)
16511: (x,y)=(24.5829,425.717)
16512: (x,y)=(29.5821,425.629)
16513: (x,y)=(25.8085,422.349)
16514: (x,y)=(20.8276,421.913)
16515: (x,y)=(16.0723,423.458)
16516: (x,y)=(11.121,424.154)
16517: (x,y)=(10.6852,429.135)
16518: (x,y)=(7.27518,425.478)
16519: (x,y)=(9.22884,420.876)
16520: (x,y)=(12.0248,416.731)
16521: (x,y)=(15.9105,419.877)
16522: (x,y)=(12.5005,423.534)
16523: (x,y)=(8.30719,426.257)
16524: (x,y)=(6.2735,421.689)
16525: (x,y)=(1.38276,420.65)
16526: (x,y)=(-2.90307,418.075)
16527: (x,y)=(0.106003,422.068)
16528: (x,y)=(3.87955,425.348)
16529: (x,y)=(5.58965,430.047)
16530: (x,y)=(3.96181,425.319)
16531: (x,y)=(3.09357,430.243)
16532: (x,y)=(5.04723,425.641)
16533: (x,y)=(1.05405,428.65)
16534: (x,y)=(-3.94291,428.475)
16535: (x,y)=(0.202282,425.679)
16536: (x,y)=(-2.37291,429.965)
16537: (x,y)=(-5.16887,434.11)
16538: (x,y)=(-2.02227,437.996)
16539: (x,y)=(-4.44632,433.623)
16540: (x,y)=(-0.0732206,431.199)
16541: (x,y)=(-0.247718,436.196)
16542: (x,y)=(0.0139617,431.203)
16543: (x,y)=(2.20582,435.697)
16544: (x,y)=(3.41543,440.548)
16545: (x,y)=(-0.358121,443.828)
16546: (x,y)=(-2.47121,448.36)
16547: (x,y)=(1.57387,445.421)
16548: (x,y)=(2.69863,450.293)
16549: (x,y)=(2.00276,445.341)
16550: (x,y)=(0.708667,450.171)
16551: (x,y)=(-2.63699,453.887)
16552: (x,y)=(0.372089,449.894)
16553: (x,y)=(-2.49579,445.798)
16554: (x,y)=(0.00420708,441.468)
16555: (x,y)=(-0.431572,446.449)
16556: (x,y)=(-4.02827,449.922)
16557: (x,y)=(0.93446,450.531)
16558: (x,y)=(5.2203,447.956)
16559: (x,y)=(7.94349,452.15)
16560: (x,y)=(11.6592,455.495)
16561: (x,y)=(8.12368,459.031)
16562: (x,y)=(12.5787,461.301)
16563: (x,y)=(10.4656,456.769)
16564: (x,y)=(9.85628,451.806)
16565: (x,y)=(6.08273,455.087)
16566: (x,y)=(1.11012,454.564)
16567: (x,y)=(0.848439,449.571)
16568: (x,y)=(-4.02341,448.446)
16569: (x,y)=(-7.62011,451.919)
16570: (x,y)=(-4.82415,447.774)
16571: (x,y)=(-8.7642,444.696)
16572: (x,y)=(-4.82415,447.774)
16573: (x,y)=(-1.35085,451.371)
16574: (x,y)=(-2.39041,456.262)
16575: (x,y)=(-7.38356,456)
16576: (x,y)=(-11.5769,458.723)
16577: (x,y)=(-15.2337,462.133)
16578: (x,y)=(-10.9036,459.633)
16579: (x,y)=(-15.8967,459.372)
16580: (x,y)=(-11.2288,457.58)
16581: (x,y)=(-6.5609,455.788)
16582: (x,y)=(-11.5609,455.788)
16583: (x,y)=(-10.099,460.569)
16584: (x,y)=(-14.8543,462.114)
16585: (x,y)=(-16.2325,466.921)
16586: (x,y)=(-20.7265,469.113)
16587: (x,y)=(-25.7196,468.851)
16588: (x,y)=(-22.4393,465.077)
16589: (x,y)=(-25.7196,461.304)
16590: (x,y)=(-30.4181,459.594)
16591: (x,y)=(-30.7669,464.582)
16592: (x,y)=(-33.1909,460.208)
16593: (x,y)=(-37.0766,463.355)
16594: (x,y)=(-37.1639,468.354)
16595: (x,y)=(-41.4042,465.705)
16596: (x,y)=(-45.0609,469.115)
16597: (x,y)=(-43.6827,473.921)
16598: (x,y)=(-47.2794,470.448)
16599: (x,y)=(-50.7527,466.851)
16600: (x,y)=(-47.8848,462.755)
16601: (x,y)=(-51.2305,466.471)
16602: (x,y)=(-46.6628,468.505)
16603: (x,y)=(-42.2077,470.775)
16604: (x,y)=(-47.1462,471.557)
16605: (x,y)=(-50.4265,475.33)
16606: (x,y)=(-50.252,480.327)
16607: (x,y)=(-45.3612,479.288)
16608: (x,y)=(-40.3681,479.026)
16609: (x,y)=(-36.5945,482.306)
16610: (x,y)=(-41.5672,482.829)
16611: (x,y)=(-46.0987,484.942)
16612: (x,y)=(-43.6746,480.569)
16613: (x,y)=(-43.3259,485.557)
16614: (x,y)=(-40.6763,481.317)
16615: (x,y)=(-40.2405,486.298)
16616: (x,y)=(-42.8901,482.057)
16617: (x,y)=(-43.7583,477.133)
16618: (x,y)=(-40.0426,473.788)
16619: (x,y)=(-43.5159,470.191)
16620: (x,y)=(-42.9932,475.164)
16621: (x,y)=(-43.1677,470.167)
16622: (x,y)=(-38.5318,472.04)
16623: (x,y)=(-43.0996,470.006)
